date,replica_ret,spmo_ret,active_spread_ret
2015-10-13,-0.011346888969995311,0.0,-0.011346888969995311
2015-10-14,-0.0096222648214689,0.0,-0.0096222648214689
2015-10-15,0.022440362643740604,0.0,0.022440362643740604
2015-10-16,0.006141464085861925,0.005954522379093552,0.00018694170676837336
2015-10-19,0.006792774547155598,0.0,0.006792774547155598
2015-10-20,-0.006902613307386871,0.0,-0.006902613307386871
2015-10-21,-0.009620596154036438,0.0,-0.009620596154036438
2015-10-22,0.01152845791858935,0.007932293214975461,0.0035961647036138883
2015-10-23,0.0030245533244318357,0.0,0.0030245533244318357
2015-10-26,0.004047499215920708,0.010140417900934784,-0.006092918685014076
2015-10-27,-0.0009288539270353883,0.0,-0.0009288539270353883
2015-10-28,0.01704317355100977,0.021705367671776665,-0.0046621941207668945
2015-10-29,-0.006973072654121956,-0.0022759776519901687,-0.004697095002131787
2015-10-30,-0.002154547478424037,-0.00456299339564159,0.002408445917217553
2015-11-02,0.006638697223926004,0.0,0.006638697223926004
2015-11-03,-0.0058204011712869935,0.0,-0.0058204011712869935
2015-11-04,0.0028402204262021045,0.0,0.0028402204262021045
2015-11-05,0.005611445220505463,-0.0030555837878968317,0.008667029008402296
2015-11-06,-0.0043225491601192705,0.0007662166452222507,-0.005088765805341521
2015-11-09,-0.009560111852908273,0.0,-0.009560111852908273
2015-11-10,0.007183445860892387,-0.006164075078681552,0.01334752093957394
2015-11-11,0.0028055927730294976,0.0,0.0028055927730294976
2015-11-12,-0.01171362050299715,0.0,-0.01171362050299715
2015-11-13,-0.016985383272940656,-0.020647673273262557,0.003662290000321901
2015-11-16,0.011388288807373012,0.00511324518591505,0.0062750436214579625
2015-11-17,0.0021604376578231396,0.0,0.0021604376578231396
2015-11-18,0.014198863739384603,0.0,0.014198863739384603
2015-11-19,0.0010122714017028215,0.016710431702216644,-0.01569816030051382
2015-11-20,0.009119266430816349,0.0,0.009119266430816349
2015-11-23,0.0017245741709482944,0.0,0.0017245741709482944
2015-11-24,-0.004772016397825364,0.0026941870058880824,-0.007466203403713447
2015-11-25,0.003536578186460391,0.015355485927585288,-0.011818907741124898
2015-11-27,0.002532232726092815,0.0,0.002532232726092815
2015-11-30,-0.006740621334177855,0.0,-0.006740621334177855
2015-12-01,0.013761232272280297,-0.0034027967309989693,0.017164029003279267
2015-12-02,-0.005216264905236175,0.0,-0.005216264905236175
2015-12-03,-0.01401254230257318,0.0,-0.01401254230257318
2015-12-04,0.021306915299643514,0.0,0.021306915299643514
2015-12-07,-0.005822475193248911,0.0,-0.005822475193248911
2015-12-08,0.0023823039958235487,0.0,0.0023823039958235487
2015-12-09,-0.01759644007829569,0.0,-0.01759644007829569
2015-12-10,0.0013204444131947317,0.0,0.0013204444131947317
2015-12-11,-0.016424793019719545,0.0,-0.016424793019719545
2015-12-14,0.008591474151827485,0.0,0.008591474151827485
2015-12-15,0.003935470237806994,0.0,0.003935470237806994
2015-12-16,0.01240963495023232,0.0,0.01240963495023232
2015-12-17,-0.012278303202648498,0.0,-0.012278303202648498
2015-12-18,-0.013384293118874636,-0.017816455226213,0.0044321621073383655
2015-12-21,0.005707697930267011,0.0,0.005707697930267011
2015-12-22,0.00504663232177322,0.0,0.00504663232177322
2015-12-23,0.0022915048330271375,0.0,0.0022915048330271375
2015-12-24,1.011295860960542e-05,0.0,1.011295860960542e-05
2015-12-28,0.0060838112221029,0.0,0.0060838112221029
2015-12-29,0.011720207595004318,0.0,0.011720207595004318
2015-12-30,-0.0077375183698026795,0.0,-0.0077375183698026795
2015-12-31,-0.011837372550520909,0.0,-0.011837372550520909
2016-01-04,-0.022366418690673726,0.0,-0.022366418690673726
2016-01-05,0.008230491847981814,0.0,0.008230491847981814
2016-01-06,-0.0025030842264389956,-0.012015188869693105,0.00951210464325411
2016-01-07,-0.02178163105896981,0.0,-0.02178163105896981
2016-01-08,-0.009041117997003684,0.0,-0.009041117997003684
2016-01-11,0.00575979155375415,0.0,0.00575979155375415
2016-01-12,0.011019485078407408,0.0,0.011019485078407408
2016-01-13,-0.029604323331466176,0.0,-0.029604323331466176
2016-01-14,0.009907350629826445,-0.036485189291737496,0.04639253992156394
2016-01-15,-0.02033417836502163,0.0,-0.02033417836502163
2016-01-19,0.007122616026543881,0.01465835330462073,-0.0075357372780768496
2016-01-20,-0.009830494704628998,0.0,-0.009830494704628998
2016-01-21,0.003757282532782243,-0.02487972715504083,0.028637009687823074
2016-01-22,0.022336801968680743,0.0,0.022336801968680743
2016-01-25,-0.008543590519750057,0.0,-0.008543590519750057
2016-01-26,0.0068847579778891724,0.0,0.0068847579778891724
2016-01-27,-0.01614528919225064,0.0,-0.01614528919225064
2016-01-28,0.026245384159685824,0.0012345181325970067,0.025010866027088817
2016-01-29,0.02001804885610031,0.018084733915151308,0.0019333149409490012
2016-02-01,0.004229540338671999,0.0,0.004229540338671999
2016-02-02,-0.010602320436590753,-0.01090027571743779,0.0002979552808470374
2016-02-03,-0.013597263542332627,0.0,-0.013597263542332627
2016-02-04,-0.013840157344089691,0.0,-0.013840157344089691
2016-02-05,-0.02984001395518204,-0.03061249755133788,0.0007724835961558409
2016-02-08,-0.014874535747143928,0.0,-0.014874535747143928
2016-02-09,0.003908655201034528,0.0,0.003908655201034528
2016-02-10,0.006550315246907268,-0.0042105380963353145,0.010760853343242583
2016-02-11,-0.003007737379212931,0.0,-0.003007737379212931
2016-02-12,0.009330332220664024,-0.008456320836981779,0.017786653057645804
2016-02-16,0.016985597835268023,0.022174675432525826,-0.0051890775972578025
2016-02-17,0.014717949003987431,0.0,0.014717949003987431
2016-02-18,-0.0059781314414959355,0.014184362914941406,-0.02016249435643734
2016-02-19,0.006277920933094975,0.0,0.006277920933094975
2016-02-22,0.01183711223967537,0.01686577925488697,-0.0050286670152116
2016-02-23,-0.008043150856154544,0.0,-0.008043150856154544
2016-02-24,0.006447318677926625,0.0,0.006447318677926625
