date,breadth,sma_cross,rsi5,wma_iwma,composite,eq_wt,next_ret,bil_ret,variant
2016-01-29,0.0,0.0,0.6844575514357458,1.0,0.42111438785893646,0.42111438785893646,-0.024592372887258462,0.0,A: 200d cont
2016-02-29,0.06666666666666667,0.0,0.48904324546125394,1.0,0.38892747803198013,0.38892747803198013,0.08194011277774238,0.0,A: 200d cont
2016-03-31,0.6,0.0,0.5677945828543945,1.0,0.5419486457135987,0.5419486457135987,0.0253294215845552,0.00043786511227805747,A: 200d cont
2016-04-29,0.7333333333333333,0.0,0.40131202398368615,0.0,0.28366133932925486,0.28366133932925486,-0.01210498887798217,0.0,A: 200d cont
2016-05-31,0.8333333333333334,1.0,0.6107490991495418,1.0,0.8610206081207188,0.8610206081207188,-0.007840212089571752,-0.0002190934050421145,A: 200d cont
2016-06-30,0.6666666666666666,1.0,0.568754063493389,0.0,0.5588551825400139,0.5588551825400139,0.04158112542635917,0.000437769382719555,A: 200d cont
2016-07-29,0.8387096774193549,1.0,0.7878082687278527,1.0,0.9066294865368019,0.9066294865368019,0.00714638550360247,0.0,A: 200d cont
2016-08-31,0.8709677419354839,1.0,0.30481358602152836,0.0,0.5439453319892531,0.5439453319892531,0.014925186261598,0.0002190455260566715,A: 200d cont
2016-09-30,0.8709677419354839,1.0,0.5389533361865491,0.0,0.6024802695305083,0.6024802695305083,-0.017598515842127904,0.0002188949325874212,A: 200d cont
2016-10-31,0.6451612903225806,1.0,0.3576428121424615,0.0,0.5007010256162605,0.5007010256162605,-0.020368188487622785,-0.00043779665673970847,A: 200d cont
2016-11-30,0.3870967741935484,1.0,0.5440820077073009,1.0,0.7327946954752124,0.7327946954752124,0.01855399858886342,0.00021884023502938277,A: 200d cont
2016-12-30,0.5806451612903226,1.0,0.6076422460563876,1.0,0.7970718518366775,0.7970718518366775,0.038242088769004035,0.0004374820858628059,A: 200d cont
2017-01-31,0.7741935483870968,1.0,0.5394777508159065,1.0,0.8284178248007508,0.8284178248007508,0.011480347044480865,0.0005034537047237109,A: 200d cont
2017-02-28,0.7741935483870968,1.0,0.30271376698051566,0.0,0.5192268288419031,0.5192268288419031,0.031449417978931526,-0.00017501284145193807,A: 200d cont
2017-03-31,0.9354838709677419,1.0,0.49542588180385216,1.0,0.8577274381928985,0.8577274381928985,0.021550141822817004,0.0007438578659277884,A: 200d cont
2017-04-28,1.0,1.0,0.7411729056282897,1.0,0.9352932264070725,0.9352932264070725,0.030744584661860364,0.0001532925571032795,A: 200d cont
2017-05-31,0.967741935483871,1.0,0.5170055325179476,0.0,0.6211868670004547,0.6211868670004547,0.007162494919285223,0.001029033729746276,A: 200d cont
2017-06-30,0.967741935483871,1.0,0.5009830097672763,1.0,0.8671812363127869,0.8671812363127869,0.0350952337210213,0.0003276135883185649,A: 200d cont
2017-07-31,1.0,1.0,0.7280135233529631,1.0,0.9320033808382407,0.9320033808382407,0.004238139387197748,0.0011380357684753761,A: 200d cont
2017-08-31,1.0,1.0,0.6894510523599261,1.0,0.9223627630899816,0.9223627630899816,0.020257601249496604,0.000721820512477267,A: 200d cont
2017-09-29,1.0,1.0,0.641896131835164,0.0,0.660474032958791,0.660474032958791,0.019234671716025442,0.0006997517576514678,A: 200d cont
2017-10-31,0.9354838709677419,1.0,0.6945623723468506,1.0,0.9075115608286481,0.9075115608286481,0.004261297051659119,0.0005470003967793513,A: 200d cont
2017-11-30,0.8709677419354839,1.0,0.4432254553849883,0.0,0.5785482993301181,0.5785482993301181,0.020064782641225465,0.000743758628905633,A: 200d cont
2017-12-29,0.967741935483871,1.0,0.8418185606651596,1.0,0.9523901240372576,0.9523901240372576,0.05465450027193541,0.0013130445878672958,A: 200d cont
2018-01-31,1.0,1.0,0.42643277216920417,0.0,0.6066081930423011,0.6066081930423011,-0.05049359573047496,0.000831396749592983,A: 200d cont
2018-02-28,0.8387096774193549,1.0,0.369927539571152,1.0,0.8021593042476267,0.8021593042476267,-0.006597402192731083,0.0013016904279326003,A: 200d cont
2018-03-29,0.6451612903225806,1.0,0.5375296954801752,0.0,0.545672746450689,0.545672746450689,0.005634902427271271,0.0010383531473283636,A: 200d cont
2018-04-30,0.6129032258064516,1.0,0.4299638719305879,0.0,0.5107167744342599,0.5107167744342599,-0.018610972934015257,0.0014985357087087259,A: 200d cont
2018-05-31,0.3225806451612903,1.0,0.3217793061643687,0.0,0.4110899878314147,0.4110899878314147,-0.02186075788198305,0.0014869726525497118,A: 200d cont
2018-06-29,0.12903225806451613,0.0,0.46849879902471664,0.0,0.14938276427230818,0.25,0.02857138611580967,0.0013889637773825125,A: 200d cont
2018-07-31,0.3870967741935484,0.0,0.6777003112567825,1.0,0.5161992713625827,0.5161992713625827,-0.02304528627637259,0.001585445180863898,A: 200d cont
2018-08-31,0.25806451612903225,0.0,0.4349313317906429,1.0,0.4232489619799188,0.4232489619799188,0.004422838503301385,0.001399971012127521,A: 200d cont
2018-09-28,0.2903225806451613,0.0,0.4635997793928483,0.0,0.1884805900095024,0.25,-0.0796812037324941,0.001706221493938953,A: 200d cont
2018-10-31,0.06451612903225806,0.0,0.5235868931732768,0.0,0.1470257555513837,0.25,0.014354352227821554,0.0018594692513889122,A: 200d cont
2018-11-30,0.06451612903225806,0.0,0.5496383669853063,1.0,0.4035386240043911,0.4035386240043911,-0.048975459280952705,0.0018274145095587002,A: 200d cont
2018-12-31,0.12903225806451613,0.0,0.5580194408936158,1.0,0.421762924739533,0.421762924739533,0.07530971433018774,0.001749146364480536,A: 200d cont
2019-01-31,0.3548387096774194,0.0,0.7730000388515309,1.0,0.5319596871322376,0.5319596871322376,0.01573571297562748,0.0018484976006734044,A: 200d cont
2019-02-28,0.5806451612903226,0.0,0.5126025136789106,1.0,0.5233119187423083,0.5233119187423083,0.009600613778538714,0.001749658313532132,A: 200d cont
2019-03-29,0.6451612903225806,1.0,0.5595546553907017,0.0,0.5511789864283205,0.5511789864283205,0.028095959782796998,0.0019251687312740184,A: 200d cont
