date,regime,crdbx_ret,spy_ret,crdbx_spy_ratio
2023-03-01,AMBIGUOUS,,,
2023-03-02,ON,0.012626230394386928,0.007777289862108905,1.6234743230932087
2023-03-03,ON,0.026600220748259407,0.016037819365946726,1.6585933624330462
2023-03-06,AMBIGUOUS,0.0,0.0006927404874084164,
2023-03-07,OFF,0.0,-0.015328731891906533,
2023-03-08,OFF,0.0,0.0016321199989794977,
2023-03-09,OFF,0.0,-0.018449853658379922,
2023-03-10,OFF,0.0,-0.014429446142896318,
2023-03-13,AMBIGUOUS,-0.003238863207894793,-0.001425250201672723,
2023-03-14,ON,0.027619755265951618,0.01653006507397059,1.6708800081763524
2023-03-15,ON,-0.00948615724725399,-0.006254338800497861,1.5167322317906522
2023-03-16,ON,0.027932991933650397,0.01754517723408111,1.592060972709423
2023-03-17,ON,-0.0194099377157384,-0.011648267622166752,1.6663368618695817
2023-03-20,ON,0.015835297502211576,0.009615631410812231,1.646828671532239
2023-03-21,ON,0.021823829667670935,0.013130526631691675,1.6620681165214817
2023-03-22,ON,-0.02822272274970139,-0.017046497325514,1.6556317823403874
2023-03-23,ON,0.0031397144875708882,0.0027033947508925404,1.1613969756116063
2023-03-24,ON,0.010954643681373888,0.006562012575101583,1.6694030308535799
2023-03-27,ON,0.003095972261364155,0.0018698426642449473,1.6557394483317802
2023-03-28,ON,-0.0038580393971985316,-0.002244657249312443,1.7187654811799358
2023-03-29,ON,0.02401242628045752,0.014534883496678752,1.6520549535842104
2023-03-30,ON,0.009833593934573948,0.00585525368824702,1.6794479723931461
2023-03-31,ON,0.0232209331149289,0.014094630342711634,1.6475021018863754
2023-04-03,ON,0.005856509853564118,0.003810541299922532,1.5369233378163834
2023-04-04,OFF,0.0,-0.0055481170740255825,
2023-04-05,OFF,0.0,-0.0026182672793729767,
2023-04-06,OFF,0.0,0.003900874175862601,
2023-04-10,AMBIGUOUS,0.0007278187080363985,0.0010263762742257487,
2023-04-11,AMBIGUOUS,0.0,0.0002685868828276039,
2023-04-12,OFF,0.0,-0.004075987071070042,
2023-04-13,OFF,0.0,0.013282719249790409,
2023-04-14,OFF,0.0,-0.0024427643181926806,
2023-04-17,OFF,0.0,0.003588253447581513,
2023-04-18,AMBIGUOUS,0.0007272893732241936,0.0006522418999843627,
2023-04-19,AMBIGUOUS,0.0,-0.0001689404120717164,
2023-04-20,OFF,0.0,-0.005457115192173734,
2023-04-21,AMBIGUOUS,0.0,0.0007769430912527575,
2023-04-24,AMBIGUOUS,0.0,0.0010431651214148907,
2023-04-25,AMBIGUOUS,0.000726760807812088,-0.015873829418699303,-0.04578358432880517
2023-04-26,OFF,0.0,-0.004235621743444606,
2023-04-27,OFF,0.0,0.01990804877378749,
2023-04-28,ON,0.013798080905377041,0.008535168842693341,1.616614874255135
2023-05-01,AMBIGUOUS,-0.0014326975436258493,-0.0010097442299228376,
2023-05-02,ON,-0.017934003409283306,-0.011239232071373229,1.5956609219736575
2023-05-03,ON,-0.010956875319792503,-0.006864003868550905,1.5962804697698494
2023-05-04,AMBIGUOUS,0.005908413879722518,-0.007082947425800068,-0.834174465025783
2023-05-05,OFF,0.0,0.018512575986983082,
2023-05-08,AMBIGUOUS,0.0007342312016052066,0.0002665471494098792,
2023-05-09,OFF,0.0,-0.004385321513347695,
2023-05-10,OFF,0.0,0.0046723613801760155,
2023-05-11,OFF,0.0,-0.001743977740241598,
2023-05-12,AMBIGUOUS,0.0,-0.001310286896183288,
2023-05-15,AMBIGUOUS,0.000733692501678096,0.0034500678839839427,0.21266030882582793
2023-05-16,OFF,0.0,-0.006682670396272794,
2023-05-17,OFF,0.0,0.012138966450525812,
2023-05-18,OFF,0.0,0.009633215071565893,
2023-05-19,AMBIGUOUS,0.0,-0.0014550863563069782,
2023-05-22,AMBIGUOUS,0.0007330846741815389,0.00040612830184261206,
2023-05-23,OFF,0.0,-0.011222837486885906,
2023-05-24,OFF,0.0,-0.007244801918740551,
2023-05-25,OFF,0.0,0.008659898295524604,
2023-05-26,OFF,0.0,0.012950669712365137,
2023-05-30,AMBIGUOUS,0.0007326175209749763,0.00038094297008361977,
2023-05-31,ON,-0.008784764780346399,-0.005545210654671839,1.584207585142908
2023-06-01,ON,0.014771034699306185,0.009501019894013307,1.5546788517529122
2023-06-02,ON,0.022561894088843237,0.014461158782416605,1.5601719356180748
2023-06-05,ON,-0.002846972335231901,-0.0019162630830241723,1.4856897053712057
2023-06-06,ON,0.0035688929277664094,0.0021774588210983215,1.6390174147891539
2023-06-07,OFF,0.0,-0.003457727240027575,
2023-06-08,OFF,0.0,0.0060485691329945634,
2023-06-09,OFF,0.0,0.0017943024372815142,
2023-06-12,AMBIGUOUS,0.000711185982154694,0.00907186311201369,0.07839469945406081
2023-06-13,OFF,0.0,0.006592936721117493,
2023-06-14,AMBIGUOUS,0.0,0.0011908327057914558,
2023-06-15,OFF,0.0,0.012397670338390565,
2023-06-16,OFF,0.0,-0.0033936164205252695,
2023-06-20,AMBIGUOUS,0.0007107483367974066,-0.0051881828235321725,-0.13699369528260402
2023-06-21,OFF,0.0,-0.005123725403500368,
2023-06-22,OFF,0.0,0.0036097101103738094,
