Date,1114_Leveraged,Defensive,Intl_Tactical,GoldDigger,SPY,Combined_4Sleeve
2016-02-29,-0.001238750617446882,0.018425526718722697,-0.024592171973556565,0.10930343875618398,-0.0008258337449645881,0.025474510720975806
2016-03-31,0.10089875044983554,0.06686967051010752,0.0819398212608824,-0.008428860461434318,0.06726583363322369,0.06031984543984778
2016-04-30,0.005912500019609079,-0.009488998109376211,0.0253292962722802,0.051088083708025867,0.003941666679739386,0.018210220472634733
2016-05-31,0.025516985802064407,0.013148311983916083,-0.01210449598836727,-0.06138296703293311,0.017011323868042938,-0.008705541308829973
2016-06-30,0.005213850851754298,0.08054777997111447,-0.007840460235629787,0.08969501879279118,0.0034759005678361987,0.041904047345007536
2016-07-31,0.05470725478972993,-0.0035979758944041373,0.0415810596550974,0.01984656031160892,0.03647150319315329,0.028134224715508027
2016-08-31,0.0017961816214424609,-0.0414292955233722,0.007146446128357686,-0.03256316550912575,0.001197454414294974,-0.01626245832067445
2016-09-30,8.680608209810092e-05,-0.003629747232753472,0.014925486336071714,0.006892135107908315,5.787072139873395e-05,0.004568670073331164
2016-10-31,-0.026005400517626065,-0.0027347890676351905,-0.017598984054442157,-0.02944919584699579,-0.017336933678417377,-0.0189470923716748
2016-11-30,0.05525759217189108,-0.026313411591677927,-0.020368070203273247,-0.08356570639157301,0.03683839478126072,-0.018747399003658276
2016-12-31,0.030407522048287228,0.04460874592612606,0.018554121842991878,-0.019149882681417818,0.02027168136552482,0.01860512678399684
2017-01-31,0.02684178032127904,0.014530923561962972,0.0382419631324562,0.05419215772584596,0.017894520214186027,0.033451706185386045
2017-02-28,0.058937511774387885,0.03067635496293551,0.011480230492734167,0.031847686784806095,0.03929167451625859,0.03323544600371592
2017-03-31,0.001875026972169791,0.0003422820012067007,0.03144953683170559,-0.00427746474772539,0.0012500179814465273,0.007347345264339174
2017-04-30,0.014889255703219084,0.007388015363961142,0.02154980667634132,0.01726748147982482,0.009926170468812723,0.015273639805836592
2017-05-31,0.021169265673648407,0.03571058732902535,0.030745250901417442,-0.0012419798017191397,0.014112843782432272,0.021595781025593015
2017-06-30,0.009562562212966474,-0.01597127406626147,0.007162068252107412,-0.02155534773928114,0.006375041475310983,-0.00520049783511718
2017-07-31,0.030831161931472173,0.021067005105753895,0.035095342760423476,0.02313170169958645,0.020554107954314782,0.027531302874308997
2017-08-31,0.004376813985989436,0.014422643818224135,0.004238241157906497,0.04198757511241591,0.002917875990659624,0.016256318518633996
2017-09-30,0.030223935494045784,-0.01625645554482617,0.020257599196567,-0.03369891808976022,0.020149290329363856,0.00013154026400659727
2017-10-31,0.03534620829043378,0.03461485661498511,0.01923447114739929,-0.007484813689786707,0.023564138860289185,0.02042768059075787
2017-11-30,0.04584902301928828,0.046217306468073836,0.004261492376033349,0.003563440057186007,0.030566015346192188,0.02497281548014537
2017-12-31,0.018191502671562443,-0.027311558287384286,0.020064683653112647,0.021057003170010358,0.012127668447708295,0.008000407801825291
2018-01-31,0.08453893249987932,-0.023009234711302295,0.05465440513972686,0.03234937283169237,0.05635928833325288,0.037133368939999065
2018-02-28,-0.054541092279056624,-0.0540892620798603,-0.05049351008285352,-0.020759902030566435,-0.03636072818603775,-0.04497094161808422
2018-03-31,-0.041115491202948384,0.010121291497698193,-0.006597307193635493,0.006320007324218668,-0.027410327468632256,-0.007817874893666754
2018-04-30,0.007752375000613321,0.00662698257079255,0.005634997518401574,-0.009539745360543916,0.0051682500004088805,0.002618652432315882
2018-05-31,0.036463626246813874,-0.0057087124366019424,-0.018611254676848765,-0.011959209467577336,0.024309084164542583,4.611241644645724e-05
2018-06-30,0.00862678836948505,0.022566712400946737,-0.021860856897761738,-0.03614944763120931,0.005751192246323367,-0.006704200939634815
2018-07-31,0.05556963012412941,0.03445901298270838,0.02857168896594242,-0.022418909632539674,0.03704642008275294,0.024045355610060132
2018-08-31,0.04787999987569069,0.009997545346849468,-0.02304538036820214,-0.021381117106768266,0.03191999991712713,0.003362761936892439
2018-09-30,0.008918060349185186,0.004017407996927819,0.004422937086541845,-0.006607347245927042,0.0059453735661234575,0.002687764546681952
2018-10-31,-0.10365670035809393,0.017916495060456887,-0.07968129406098612,0.02119545356837582,-0.06910446690539596,-0.036056511447561834
2018-11-30,0.02782427730734538,0.055911748340850664,0.014354138934030258,0.003386881324189961,0.01854951820489692,0.025369261476604066
2018-12-31,-0.1320731167329861,-0.061639761147658255,-0.04897546957929033,0.04942010593064916,-0.0880487444886574,-0.048317060382321385
2019-01-31,0.12009903891169349,0.05784978298911492,0.0753098415335518,0.028865979381443196,0.080066025941129,0.07053116070395085
2019-02-28,0.048623141956000815,0.01656728853905447,0.015735920212420984,-0.006092201492829408,0.03241542797066721,0.018708537303661715
2019-03-31,0.027151156836942913,0.030475747506705914,0.009600511590028393,-0.01596899557748621,0.01810077122462861,0.012814605089047752
2019-04-30,0.06127822210655531,0.011214734017201827,0.028095959782796998,-0.006638842503124187,0.040852148071036876,0.023487518350857488
2019-05-31,-0.095656509874812,-0.005409207622009121,-0.056127694862272426,0.017574298155486723,-0.063771006583208,-0.03490477855090171
2019-06-30,0.10437966730753778,0.03864990228943561,0.05953756371456986,0.08002914919848991,0.06958644487169185,0.07064907062750829
2019-07-31,0.022679164573947697,0.014351954868534111,-0.0173225646947619,7.514839229982861e-05,0.015119443049298464,0.004945925785004935
2019-08-31,-0.025115183958041798,0.03797423691652686,-0.023939142264334023,0.0791231345612986,-0.016743455972027865,0.01701076131386241
2019-09-30,0.029186986542321658,0.017345080187244927,0.026755896022974346,-0.0339478600543478,0.01945799102821444,0.009835025674548283
2019-10-31,0.033156649581686626,0.0023187099390195587,0.030836163900061164,0.02563546974700759,0.02210443305445775,0.022986748291943734
2019-11-30,0.054297845006541,-0.005129289280875754,0.009900874078873745,-0.03208588289288572,0.036198563337694,0.006745886727913318
2019-12-31,0.04358250837065525,0.033342681911929045,0.04140699065204401,0.03655877893383952,0.029055005580436832,0.038722739967116955
2020-01-31,-0.0006053008836875984,0.044114867670848865,-0.03420232401589329,0.04499655849690343,-0.0004035339224583989,0.01357595031704285
2020-02-29,-0.11874897458417932,-0.0896050257285121,-0.06661008169455351,-0.006361728631845698,-0.07916598305611955,-0.07033145265977266
2020-03-31,-0.18730661770037138,-0.07066900457964606,-0.14972897916973127,-0.002224031676743232,-0.12487107846691425,-0.10248215828162299
2020-04-30,0.1904748157451328,0.05442011436811924,0.06374487228994963,0.07261060302877431,0.1269832104967552,0.09531260135799399
