date,portfolio_ret,comod_score,equity,com_ret,com_equity
2013-01-02,0.0,,1.0,0.0,1.0
2013-01-03,0.0,0.0,1.0,0.0,1.0
2013-01-04,5.896253157899878e-05,0.0,1.000058962531579,0.0,1.0
2013-01-07,0.0,0.0,1.000058962531579,0.0,1.0
2013-01-08,5.917680092426547e-05,0.0,1.0001181428217174,0.0,1.0
2013-01-09,0.00017773058940306896,0.0,1.000295894408714,0.0,1.0
2013-01-10,-5.903821441904933e-05,0.0,1.0002368387252174,0.0,1.0
2013-01-11,-5.9432186548302735e-05,0.0,1.0001773924628257,0.0,1.0
2013-01-14,0.0,0.0,1.0001773924628257,0.0,1.0
2013-01-15,5.9439251757664735e-05,0.0,1.0002368422586585,0.0,1.0
2013-01-16,0.0,0.0,1.0002368422586585,0.0,1.0
2013-01-17,-5.9432186548302735e-05,0.0,1.000177395996057,0.0,1.0
2013-01-18,0.0,0.0,1.000177395996057,0.0,1.0
2013-01-22,0.00011849145722486742,0.0,1.0002959084731917,0.0,1.0
2013-01-23,0.0,0.0,1.0002959084731917,0.0,1.0
2013-01-24,0.0,0.0,1.0002959084731917,0.0,1.0
2013-01-25,-0.00023681620840004802,0.0,1.000059022188869,0.0,1.0
2013-01-28,-0.0001776963190370795,0.0,0.9998813153818062,0.0,1.0
2013-01-29,5.9529789901868746e-05,0.0,0.9999408381064379,0.0,1.0
2013-01-30,0.00017740642101715665,0.0,1.0001182340317551,0.0,1.0
2013-01-31,5.922509684219701e-05,0.0,1.0001774661310194,0.0,1.0
2013-02-01,-5.280417249170499e-05,0.0,1.0001246525875755,0.0,1.0
2013-02-04,0.00011800628872871144,0.0,1.0002426735860934,0.0,1.0
2013-02-05,0.0,0.0,1.0002426735860934,0.0,1.0
2013-02-06,0.00011875243600056873,0.0,1.0003614548401736,0.0,1.0
2013-02-07,0.0,0.0,1.0003614548401736,0.0,1.0
2013-02-08,5.903048725686144e-05,0.0,1.000420506664286,0.0,1.0
2013-02-11,-0.00017773374225360516,0.0,1.0002426981838093,0.0,1.0
2013-02-12,-0.0001179784443320342,0.0,1.000124691106323,0.0,1.0
2013-02-13,-5.9279635200193415e-05,0.0,1.0000654040794796,0.0,1.0
2013-02-14,5.92866641838663e-05,0.0,1.0001246946212532,0.0,1.0
2013-02-15,5.8726653528573536e-05,0.0,1.0001834285976796,0.0,1.0
2013-02-19,-5.871975669896612e-05,0.0,1.000124698070098,0.0,1.0
2013-02-20,0.0,0.0,1.000124698070098,0.0,1.0
2013-02-21,0.00017723062576180393,0.0,1.0003019507961768,0.0,1.0
2013-02-22,0.0,0.0,1.0003019507961768,0.0,1.0
2013-02-25,0.00011857253919689281,0.0,1.0004205591384463,0.0,1.0
2013-02-26,0.00011859969243666058,0.0,1.0005392087090674,0.0,1.0
2013-02-27,0.0,0.0,1.0005392087090674,0.0,1.0
2013-02-28,-5.950679311206297e-05,0.0,1.0004796698293743,0.0,1.0
2013-03-01,0.00010687078581528286,0.0,1.0005865918778811,0.0,1.0
2013-03-04,-5.9335416813077746e-05,0.0,1.0005272216553944,0.0,1.0
2013-03-05,-5.917669797339542e-05,0.0,1.0004680137581843,0.0,1.0
2013-03-06,-5.918370256557948e-05,0.0,1.0004088023568316,0.0,1.0
2013-03-07,-0.00011832615086415643,0.0,1.0002904278339582,0.0,1.0
2013-03-08,5.91494398990422e-05,0.0,1.0003495944525007,0.0,1.0
2013-03-11,-5.914244341420627e-05,0.0,1.0002904313332164,0.0,1.0
2013-03-12,0.00011835415964844831,0.0,1.000408819866621,0.0,1.0
2013-03-13,-0.00011832615086415643,0.0,1.0002904453416757,0.0,1.0
2013-03-14,0.0,0.0,1.0002904453416757,0.0,1.0
2013-03-15,0.00017755887939785442,0.0,1.0004680557922228,0.0,1.0
2013-03-18,0.0001185331858106764,0.0,1.0005866444581777,0.0,1.0
2013-03-19,-5.9335416813077746e-05,0.0,1.0005272742325713,0.0,1.0
2013-03-20,-5.917669797339542e-05,0.0,1.0004680663322498,0.0,1.0
2013-03-21,5.918370256563499e-05,0.0,1.000527277736714,0.0,1.0
2013-03-22,-0.00011835339594679084,0.0,1.0004088619356564,0.0,1.0
2013-03-25,0.0,0.0,1.0004088619356564,0.0,1.0
2013-03-26,5.919070881621469e-05,0.0,1.0004680768453003,0.0,1.0
2013-03-27,0.0001185331858106764,0.0,1.0005866655137505,0.0,1.0
2013-03-28,5.916967542529683e-05,0.0,1.0006458699019838,0.0,1.0
2013-04-01,4.739642803286426e-05,0.0,1.000693296941943,0.0,1.0
2013-04-02,0.0,0.0,1.000693296941943,0.0,1.0
2013-04-03,-5.9322772554160075e-05,0.0,1.000633933041092,0.0,1.0
2013-04-04,0.00017765798385371845,0.0,1.0008117036482118,0.0,1.0
2013-04-05,0.0,0.0,1.0008117036482118,0.0,1.0
2013-04-08,-0.00011828614312625607,0.0,1.0006933214917917,0.0,1.0
2013-04-09,0.0,0.0,1.0006933214917917,0.0,1.0
2013-04-10,0.0,0.0,1.0006933214917917,0.0,1.0
2013-04-11,0.0,0.0,1.0006933214917917,0.0,1.0
2013-04-12,5.910183112933787e-05,0.0,1.0007524642994907,0.0,1.0
2013-04-15,5.9205303558074185e-05,0.0,1.000811714152926,0.0,1.0
2013-04-16,0.0,0.0,1.000811714152926,0.0,1.0
2013-04-17,0.0,0.0,1.000811714152926,0.0,1.0
2013-04-18,0.0,0.0,1.000811714152926,0.0,1.0
2013-04-19,0.0,0.0,1.000811714152926,0.0,1.0
2013-04-22,5.947440529741055e-05,0.0,1.0008712368344401,0.0,1.0
2013-04-23,-5.946733172901286e-05,0.0,1.0008117176925813,0.0,1.0
