date,sma_cross,breadth,rsi5,wma_iwma,composite,eq_wt,next_ret,bil_ret
2016-01-29,0.0,0.0,0.6844567516713624,1.0,0.4211141879178406,0.4211141879178406,-0.024592309209979124,0.0
2016-02-29,0.0,0.06666666666666667,0.489042259497812,1.0,0.38892723154111963,0.38892723154111963,0.08194025572321895,0.0
2016-03-31,0.0,0.6,0.567796442709743,1.0,0.5419491106774358,0.5419491106774358,0.025329610356644272,0.00043755697356417933
2016-04-29,0.0,0.7333333333333333,0.40131389106177934,0.0,0.28366180609877817,0.28366180609877817,-0.012104800204788657,0.0
2016-05-31,1.0,0.8333333333333334,0.6107596588348477,1.0,0.8610232480420453,0.8610232480420453,-0.007840459253212306,-0.00021858013261621956
2016-06-30,1.0,0.6666666666666666,0.5687548101623462,0.0,0.5588553692072532,0.5588553692072532,0.04158099125818793,0.00043735853109971856
2016-07-29,1.0,0.8387096774193549,0.7878064575056325,1.0,0.9066290337312468,0.9066290337312468,0.007146263820851928,0.0
2016-08-31,1.0,0.8709677419354839,0.30481471558105055,0.0,0.5439456143791337,0.5439456143791337,0.014925728911278524,0.0002190455710247008
2016-09-30,1.0,0.8709677419354839,0.538957713279238,0.0,0.6024813638036806,0.6024813638036806,-0.01759904127622336,0.00021838186223699374
2016-10-31,1.0,0.6451612903225806,0.3576359335972573,0.0,0.5006993059799595,0.5006993059799595,-0.020368129345451624,-0.00043728396792008795
2016-11-30,1.0,0.3870967741935484,0.5440806432784925,1.0,0.7327943543680102,0.7327943543680102,0.01855381370767084,0.0002191482165594394
2016-12-30,1.0,0.5806451612903226,0.6076399595262072,1.0,0.7970712802041324,0.7970712802041324,0.03824227722388285,0.0004373794179219903
2017-01-31,1.0,0.7741935483870968,0.539475089709849,1.0,0.8284171595242364,0.8284171595242364,0.011480347044480865,0.0005030433920059085
2017-02-28,1.0,0.7741935483870968,0.3027160827512088,0.0,0.5192274077845764,0.5192274077845764,0.03144953320781063,-0.00017450028020515873
2017-03-31,1.0,0.9354838709677419,0.49542899140264685,1.0,0.8577282155925972,0.8577282155925972,0.02154980426889419,0.0007438577896492493
2017-04-28,1.0,1.0,0.7411640695091032,1.0,0.9352910173772758,0.9352910173772758,0.030744919462698306,0.00015319007311931365
2017-05-31,1.0,0.967741935483871,0.5170129513338615,0.0,0.6211887217044332,0.6211887217044332,0.007162388062488478,0.0010288288245829946
2017-06-30,1.0,0.967741935483871,0.500984901621473,1.0,0.867181709276336,0.867181709276336,0.035095128378646034,0.0003278183499468845
