Date,SPY,CRDBX,SGOV,DBMF,KMLM,ARB,CAOS
2022-03-09,+2.6811%,+0.0000%,-0.0100%,-2.1808%,-5.1751%,+0.3537%,
2022-03-10,-0.4516%,+0.0000%,+0.0100%,+0.8091%,+0.2182%,+0.0796%,
2022-03-11,-1.2715%,+0.0000%,+0.0000%,+0.5886%,+1.4881%,-0.2310%,
2022-03-14,-0.7308%,+0.0000%,+0.0000%,-0.4610%,-0.2849%,+0.2505%,
2022-03-15,+2.1990%,+0.0000%,-0.0100%,-1.0331%,-1.4609%,-0.2083%,
2022-03-16,+2.2174%,+0.0000%,+0.0100%,-1.2959%,-1.0133%,+0.0987%,
2022-03-17,+1.2511%,+0.0000%,+0.0000%,+0.7768%,+2.2811%,-0.1895%,
2022-03-18,+1.0919%,+0.0000%,+0.0000%,+0.0253%,+0.1513%,+0.2051%,
2022-03-21,-0.0292%,+0.0000%,+0.0000%,+3.0318%,+2.8631%,-0.1327%,
2022-03-22,+1.1701%,+0.0000%,+0.0050%,+2.2544%,+0.2780%,+0.1670%,
2022-03-23,-1.2878%,+0.0000%,+0.0050%,+0.9615%,+0.6324%,-0.1478%,
2022-03-24,+1.5074%,+0.0000%,+0.0000%,-1.1905%,+0.6068%,+0.1707%,
2022-03-25,+0.4884%,+0.0000%,-0.0100%,+1.1945%,+1.2000%,+0.1591%,
2022-03-28,+0.7113%,-0.1011%,+0.0000%,-0.5817%,-2.4598%,+0.0983%,
2022-03-29,+1.2371%,+0.0000%,+0.0100%,-0.5646%,-1.4713%,+0.1133%,
2022-03-30,-0.6175%,+0.0000%,+0.0100%,-0.4852%,+1.0187%,-0.0679%,
2022-03-31,-1.5391%,+0.0000%,+0.0000%,-1.1307%,-1.1024%,+0.1133%,
2022-04-01,+0.2834%,+0.0000%,-0.0020%,+0.8988%,+0.0063%,+0.3055%,
2022-04-04,+0.8567%,+0.0000%,+0.0000%,+1.1681%,+0.9468%,+0.0188%,
2022-04-05,-1.2631%,+0.0000%,-0.0060%,+1.1409%,+1.4179%,-0.1241%,
2022-04-06,-0.9999%,+0.0000%,+0.0010%,-0.1016%,+0.1206%,+0.0264%,
2022-04-07,+0.5039%,+0.0000%,+0.0050%,+0.4103%,+0.3367%,+0.0941%,
2022-04-08,-0.2674%,+0.0000%,+0.0000%,+0.8071%,+1.2778%,-0.0752%,
2022-04-11,-1.7092%,+0.0000%,+0.0000%,+0.6365%,+0.6779%,-0.2333%,
2022-04-12,-0.3705%,+0.0000%,+0.0000%,+0.5593%,+1.4132%,+0.0943%,
2022-04-14,-1.2452%,+0.0000%,+0.0030%,+0.8210%,+2.3019%,+0.0151%,
2022-04-19,+1.6143%,+0.0000%,+0.0000%,+1.0058%,-1.7973%,+0.1695%,
2022-04-20,-0.0742%,+0.0000%,+0.0000%,-1.6979%,-1.3209%,-0.0263%,
2022-04-21,-1.4954%,+0.0000%,+0.0000%,+1.3636%,+1.3765%,-0.2745%,
2022-04-22,-2.7439%,+0.0000%,+0.0000%,-0.2562%,-1.3664%,-0.0377%,
2022-04-25,+0.5798%,+0.0000%,+0.0050%,-1.1240%,-1.5282%,-0.0754%,
2022-04-26,-2.8961%,+0.0000%,+0.0050%,+0.0650%,+1.7356%,-0.3398%,
2022-04-27,+0.2812%,+0.0000%,+0.0000%,+0.9413%,+1.1878%,-0.0303%,
2022-04-28,+2.5259%,+0.0000%,+0.0100%,+1.9775%,+0.8689%,+0.0872%,
2022-04-29,-3.6956%,+0.0000%,+0.0000%,-0.2995%,-1.1466%,-0.2650%,
2022-05-02,+0.6019%,+0.0000%,-0.0050%,+2.1822%,+1.9909%,+0.3226%,
2022-05-03,+0.4584%,+0.0000%,+0.0000%,-1.7951%,+0.0622%,-0.3784%,
2022-05-04,+3.0453%,+0.0000%,+0.0000%,-1.0841%,+0.5457%,+0.2848%,
2022-05-05,-3.5543%,+0.0000%,+0.0100%,+1.7014%,+1.9571%,-0.2272%,
2022-05-06,-0.5969%,+0.0000%,+0.0000%,+1.4724%,+0.4440%,-0.0569%,
2022-05-09,-3.2017%,+0.0000%,+0.0000%,-1.2967%,-2.9654%,-1.1964%,
2022-05-10,+0.2311%,+0.0000%,+0.0000%,-0.9071%,-0.6536%,+0.1960%,
2022-05-11,-1.5886%,+0.0000%,+0.0000%,+0.5587%,+1.3700%,-0.4374%,
2022-05-12,-0.1044%,-0.0994%,+0.0000%,-0.4363%,+0.6182%,-0.0886%,
2022-05-13,+2.3908%,+0.0000%,+0.0000%,+1.2989%,+0.0586%,-0.4975%,
2022-05-16,-0.4058%,+0.0000%,+0.0000%,+0.6225%,+1.1973%,-0.1008%,
2022-05-17,+2.0570%,+0.0000%,+0.0100%,-1.3300%,+0.4992%,+0.7605%,
2022-05-18,-4.0312%,+0.0000%,+0.0000%,+0.0000%,-1.5806%,-0.5891%,
2022-05-19,-0.6125%,+0.0000%,+0.0100%,-0.8777%,-2.0215%,+0.0891%,
2022-05-20,+0.0437%,+0.0000%,-0.0100%,-0.1581%,+1.2379%,+0.0039%,
2022-05-23,+1.8710%,+0.0000%,+0.0150%,-0.4118%,+0.2558%,+0.3870%,
2022-05-24,-0.7634%,+0.0000%,+0.0050%,-0.8906%,-0.9140%,+0.0154%,
2022-05-25,+0.8835%,+0.0000%,+0.0000%,+0.2567%,+0.6055%,+0.3006%,
2022-05-26,+1.9981%,+0.0000%,+0.0100%,+0.0960%,-0.2363%,+0.3920%,
2022-05-27,+2.4549%,+0.0000%,+0.0000%,-0.4477%,-0.1438%,+0.2105%,
2022-05-31,-0.5611%,+0.0000%,+0.0000%,+0.5782%,-0.2795%,-0.0382%,
2022-06-01,-0.8089%,+0.0000%,+0.0010%,+1.7247%,+2.3330%,-0.1146%,
2022-06-02,+1.9043%,+0.0000%,+0.0100%,-0.3454%,-1.3114%,+0.6159%,
2022-06-03,-1.6412%,+0.0000%,+0.0000%,+1.2602%,+1.5980%,-0.1483%,
2022-06-06,+0.3045%,+0.0000%,-0.0100%,+0.7467%,+2.8973%,-0.4493%,
2022-06-07,+0.9592%,+0.0000%,+0.0000%,-0.3088%,-0.1341%,+0.1377%,
2022-06-08,-1.0872%,+0.0000%,+0.0000%,+1.3011%,+0.0430%,-0.1451%,
2022-06-09,-2.3783%,+0.0000%,+0.0100%,+0.3670%,+1.1381%,-0.3519%,
2022-06-10,-2.8996%,+0.0000%,+0.0000%,+0.2133%,+1.1677%,-0.1152%,
2022-06-13,-3.7968%,+0.0000%,-0.0100%,+1.3378%,+1.8888%,-1.0300%,
2022-06-14,-0.3013%,+0.0000%,+0.0000%,-0.0600%,-0.4634%,-0.3301%,
2022-06-24,+3.1794%,+0.0000%,-0.0200%,-0.2183%,+0.5300%,+0.6833%,
2022-06-27,-0.3820%,+0.0000%,+0.0200%,+0.6875%,+0.5549%,-0.0383%,
2022-06-28,-2.0433%,+0.0000%,+0.0000%,+0.9001%,+1.2417%,+0.0000%,
2022-06-29,-0.0814%,+0.0000%,+0.0100%,+0.4614%,-1.1992%,-0.0192%,
2022-06-30,-0.8124%,+0.0000%,+0.0200%,-0.7961%,-3.9724%,+0.0959%,
2022-07-01,+1.0577%,+0.0000%,-0.0110%,-0.7407%,+0.6895%,+0.0958%,
2022-07-05,+0.1889%,+0.0000%,+0.0100%,-0.2488%,-2.9957%,+0.0000%,
2022-07-06,+0.3377%,+0.0000%,+0.0000%,+0.0935%,-0.7647%,+0.1991%,
2022-07-07,+1.4977%,+0.0000%,+0.0100%,+0.3114%,+3.1417%,+0.4509%,
2022-07-08,-0.0823%,+0.0000%,+0.0000%,+0.3105%,+1.6379%,-0.1864%,
2022-07-11,-1.1424%,+0.0000%,+0.0000%,+0.6809%,+1.1026%,-0.2821%,
2022-07-12,-0.8849%,+0.0000%,-0.0100%,-1.0144%,-3.1040%,-0.0268%,
2022-07-13,-0.5252%,+0.0000%,-0.0100%,+0.5901%,+0.7504%,+0.2026%,
2022-07-14,-0.2428%,+0.0000%,+0.0300%,+0.7410%,+1.3750%,-0.0801%,
2022-07-15,+1.9105%,+0.0000%,-0.0100%,-0.7662%,-0.2543%,+0.3933%,
2022-07-21,+1.0183%,+0.0000%,+0.0100%,-1.4479%,-0.3969%,+0.1397%,
2022-07-22,-0.9278%,+0.0000%,+0.0200%,-1.0003%,-2.2004%,-0.3016%,
2022-07-26,-1.1831%,+0.0000%,-0.0100%,+0.9114%,+0.4583%,-0.1925%,
2022-07-27,+2.5966%,+0.0000%,+0.0200%,-1.0589%,-1.2832%,+0.5295%,
2022-07-28,+1.2542%,+0.0000%,+0.0000%,-1.1017%,-1.4154%,-0.1129%,
2022-07-29,+1.4579%,+0.0000%,-0.0200%,-0.5729%,-0.5567%,-0.0377%,
2022-08-01,-0.2961%,+0.0000%,+0.0460%,-1.1844%,-2.1803%,-0.0754%,
2022-08-02,-0.6597%,+0.0000%,+0.0050%,+1.1986%,+2.1687%,+0.0980%,
2022-08-03,+1.5659%,+0.0000%,+0.0150%,+0.5762%,+0.0885%,+0.8777%,
2022-08-04,-0.0676%,+0.0000%,+0.0100%,-1.5277%,-2.6804%,-0.1867%,
2022-08-05,-0.1690%,+0.0000%,+0.0000%,+1.1635%,+1.8765%,+0.2469%,
2022-08-08,-0.1161%,+0.0000%,+0.0000%,+0.5431%,-0.2971%,-0.0411%,
2022-08-09,-0.3971%,+0.0000%,+0.0200%,+0.0000%,+1.3409%,+0.3771%,
2022-08-10,+2.1004%,+0.0935%,-0.0100%,-1.5888%,-2.3522%,+0.2418%,
2022-08-11,+0.0000%,+0.0000%,+0.0200%,+0.6781%,+2.9810%,-0.0445%,
