date,comod_score,reason,selected,w_COM,w_SHY,w_LIT,w_XOP,w_OIH,w_GDX,w_SIL,w_COPX,w_REMX,w_PICK,w_SLV,w_LAND,w_XLE,w_PDBA
2018-03-01,5,COMOD>=4 and top2 tactical selected,"REMX,COPX",0.5,,,,,,,0.25,0.25,,,,,
2018-04-02,5,COMOD>=4 and top2 tactical selected,"REMX,PICK",0.5,,,,,,,,0.25,0.25,,,,
2018-05-01,3,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2018-06-01,4,COMOD>=4 and top2 tactical selected,"XOP,OIH",0.5,,,0.25,0.25,,,,,,,,,
2018-07-02,1,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2018-08-01,1,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2018-09-04,1,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2018-10-01,2,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2018-11-01,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2018-12-03,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2019-01-02,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2019-02-01,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2019-03-01,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2019-04-01,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2019-05-01,1,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2019-06-03,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2019-07-01,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2019-08-01,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2019-09-03,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2019-10-01,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2019-11-01,1,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2019-12-02,1,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2020-01-02,4,COMOD>=4 and top2 tactical selected,"GDX,SIL",0.5,,,,,0.25,0.25,,,,,,,
2020-02-03,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2020-03-02,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2020-04-01,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2020-05-01,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2020-06-01,1,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2020-07-01,1,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2020-08-03,3,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2020-09-01,5,COMOD>=4 and top2 tactical selected,"SIL,SLV",0.5,,,,,,0.25,,,,0.25,,,
2020-10-01,5,COMOD>=4 and top2 tactical selected,"LIT,SIL",0.5,,0.25,,,,0.25,,,,,,,
2020-11-02,5,COMOD>=4 and top2 tactical selected,"SIL,LIT",0.5,,0.25,,,,0.25,,,,,,,
2020-12-01,5,COMOD>=4 and top2 tactical selected,"LIT,COPX",0.5,,0.25,,,,,0.25,,,,,,
2021-01-04,5,COMOD>=4 and top2 tactical selected,"LIT,COPX",0.5,,0.25,,,,,0.25,,,,,,
2021-02-01,5,COMOD>=4 and top2 tactical selected,"LIT,REMX",0.5,,0.25,,,,,,0.25,,,,,
2021-03-01,5,COMOD>=4 and top2 tactical selected,"REMX,COPX",0.5,,,,,,,0.25,0.25,,,,,
2021-04-01,4,COMOD>=4 and top2 tactical selected,"REMX,COPX",0.5,,,,,,,0.25,0.25,,,,,
2021-05-03,5,COMOD>=4 and top2 tactical selected,"COPX,REMX",0.5,,,,,,,0.25,0.25,,,,,
2021-06-01,5,COMOD>=4 and top2 tactical selected,"REMX,COPX",0.5,,,,,,,0.25,0.25,,,,,
2021-07-01,4,COMOD>=4 and top2 tactical selected,"XOP,OIH",0.5,,,0.25,0.25,,,,,,,,,
2021-08-02,4,COMOD>=4 and top2 tactical selected,"REMX,XOP",0.5,,,0.25,,,,,0.25,,,,,
2021-09-01,3,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2021-10-01,4,COMOD>=4 and top2 tactical selected,"XOP,LAND",0.5,,,0.25,,,,,,,,0.25,,
2021-11-01,4,COMOD>=4 and top2 tactical selected,"XOP,XLE",0.5,,,0.25,,,,,,,,,0.25,
2021-12-01,2,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2022-01-03,3,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2022-02-01,3,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2022-03-01,3,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2022-04-01,3,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2022-05-02,3,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2022-06-01,3,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2022-07-01,2,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2022-08-01,2,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2022-09-01,2,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2022-10-03,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2022-11-01,2,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2022-12-01,1,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2023-01-03,2,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2023-02-01,2,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2023-03-01,4,COMOD>=4 and top2 tactical selected,"OIH,COPX",0.5,,,,0.25,,,0.25,,,,,,
2023-04-03,3,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2023-05-01,2,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2023-06-01,2,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2023-07-03,2,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2023-08-01,3,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
