date,equity
2020-10-31,-0.020600980826246618
2020-11-30,0.05992624255926615
2020-12-31,0.019308406803513645
2021-01-31,-0.01931966427507603
2021-02-28,-0.01366519694138768
2021-03-31,0.07705325219143222
2021-04-30,0.03540154733576584
2021-05-31,0.045467451279532334
2021-06-30,0.003008456597883624
2021-07-31,0.011558269527502052
2021-08-31,0.04981732869123534
2021-09-30,-0.02469874110458259
2021-10-31,0.03443084691538978
2021-11-30,-0.029898809522938108
2021-12-31,0.042024418022126975
2022-01-31,-0.02465464588559252
2022-02-28,-0.019975217867377548
2022-03-31,0.04847287380391574
2022-04-30,-0.002943728919140187
2022-05-31,0.005562354241729128
2022-06-30,-0.04340771339899174
2022-07-31,0.03818223867993775
2022-08-31,-0.01771348707903775
2022-09-30,-0.08994227828894641
2022-10-31,0.06151351815228434
2022-11-30,0.05629162001424981
2022-12-31,-0.01044661315493145
2023-01-31,0.010163522401492875
2023-02-28,-0.024480966501634005
2023-03-31,0.03203651755865344
2023-04-30,0.014660524091146154
2023-05-31,-0.01872200335793095
2023-06-30,0.051479074627309274
2023-07-31,0.011382865438714251
2023-08-31,-0.018396358007694902
2023-09-30,-0.03978759333084625
2023-10-31,-0.0011778756734458495
2023-11-30,0.08752572729120556
2023-12-31,0.05747426046119131
2024-01-31,0.042902736628895655
2024-02-29,0.12649275953408745
2024-03-31,0.014334503815850663
2024-04-30,-0.02494234691189723
2024-05-31,0.013037774190870488
2024-06-30,-0.003858088811450222
2024-07-31,0.02202374619593095
2024-08-31,0.016929600649820964
2024-09-30,0.035816573911708005
2024-10-31,-0.009067088103927201
2024-11-30,0.05768505520261824
2024-12-31,-0.049168160577373055
2025-01-31,0.02134761889664394
2025-02-28,-0.0017539566586387556
2025-03-31,0.003001457479925529
2025-04-30,-0.01871637306818874
2025-05-31,-0.007986026141202585
2025-06-30,0.022347125271635404
2025-07-31,0.01572555654736374
2025-08-31,-4.939269838666327e-05
2025-09-30,0.056839969990811534
2025-10-31,-0.004716744442594734
2025-11-30,0.04312347915732806
2025-12-31,0.0259946377406286
2026-01-31,0.04326649149131945
2026-02-28,0.04209606390240528
