date,return
2016-01-29,0.0
2016-02-29,0.0203380127905346
2016-03-31,0.08450710214717505
2016-04-29,-0.030816893841155046
2016-05-31,0.0055855073973585245
2016-06-30,0.07109080243327992
2016-07-29,-0.021925945763194954
2016-08-31,-0.042944288978860046
2016-09-30,0.022709813619508745
2016-10-31,-0.04203688640447922
2016-11-30,0.027540789488901707
2016-12-30,-0.005138061900359259
2017-01-31,0.0013599118714049396
2017-02-28,0.05748039005319017
2017-03-31,-0.04814693252604385
2017-04-28,-0.014922915652047397
2017-05-31,0.06821554710195121
2017-06-30,-0.058841015877832636
2017-07-31,0.03235310011867143
2017-08-31,0.04496456433981488
2017-09-29,0.02699655680511981
2017-10-31,0.10047415914403923
2017-11-30,-0.03749811148897786
2017-12-29,0.003769109229183165
2018-01-31,0.0728214967803682
2018-02-28,-0.054186937444615446
2018-03-29,0.00861123776228312
2018-04-30,0.028882858124898103
2018-05-31,0.06683608660904095
2018-06-29,-0.026275151695216215
2018-07-31,0.0009144400378946482
2018-08-31,0.10818214196831
2018-09-28,0.02245437999643296
2018-10-31,-0.12298131212224328
2018-11-30,-0.013358194975213733
2018-12-31,-0.09826551602493261
2019-01-31,0.03894224159063753
2019-02-28,-0.012237511515165167
2019-03-29,0.017755285330258497
2019-04-30,-0.03358479615578669
2019-05-31,-0.08564613079314509
2019-06-28,0.010933384098026355
2019-07-31,0.038344338919124255
2019-08-30,-0.03378783024420584
2019-09-30,-0.009143001739340906
2019-10-31,-0.006521970844463265
2019-11-29,-0.0277742917426147
2019-12-31,0.03603178688494779
2020-01-31,0.008827077327514532
2020-02-28,-0.06375928350543403
2020-03-31,-0.10240463401763766
2020-04-30,0.10944783226380284
2020-05-29,0.04594126453142344
2020-06-30,0.08966851675340481
2020-07-31,0.08510849864528769
2020-08-31,0.0435697662638066
2020-09-30,-0.046736099101276074
2020-10-30,-0.035345151908901196
2020-11-30,0.07457443870609048
2020-12-31,0.0052720616962169675
2021-01-29,-0.042048126155439736
2021-02-26,0.19202002324573542
2021-03-31,0.04344934144650847
2021-04-30,0.02233128705257692
2021-05-28,0.06811650274671055
2021-06-30,-0.04639056744605696
2021-07-30,-0.1079484251002063
2021-08-31,0.03181833408350476
2021-09-30,-0.056996812918933326
2021-10-29,0.06866788901431486
2021-11-30,-0.07014869084066466
2021-12-31,-0.003603475087157526
2022-01-31,-0.1346415008791776
2022-02-28,0.09106763464698209
2022-03-31,0.11083866686156152
2022-04-29,-0.020818686060415703
2022-05-31,0.17436834492689446
2022-06-30,-0.20571126433850906
2022-07-29,0.10483719228415156
2022-08-31,0.06236099464133882
2022-09-30,-0.12478632235343845
2022-10-31,0.2031208442610648
2022-11-30,0.025297159284329185
2022-12-30,-0.0636528578728156
2023-01-31,-0.0027950799679055116
2023-02-28,-0.0053579546606189465
2023-03-31,-0.020100232857183875
2023-04-28,-0.0707975097500746
2023-05-31,0.011608780370736094
2023-06-30,0.0625447767022409
2023-07-31,0.10681958867211194
2023-08-31,-0.03333551650224942
2023-09-29,-0.06283261558622144
2023-10-31,-0.031129266747759177
2023-11-30,-0.0004420555471593701
2023-12-29,0.013293682642948834
2024-01-31,-0.046797873603892315
2024-02-29,0.16397132727162322
2024-03-28,0.01985493290075313
2024-04-30,-0.05040694834232662
2024-05-31,0.0014426296088283497
2024-06-28,-0.061005268630340725
2024-07-31,-0.07298854724682058
2024-08-30,0.06093941689119986
2024-09-30,0.08401175831804841
2024-10-31,0.012283787238004162
2024-11-29,0.05788831806560735
2024-12-31,-0.022891155581164946
2025-01-31,0.049562401105285536
2025-02-28,-0.0368726996200881
2025-03-31,-0.0608725726045346
2025-04-30,-0.10624311124586494
2025-05-30,0.009021152488716933
2025-06-30,-0.012399842719843068
2025-07-31,-0.03223786983772825
2025-08-29,-0.03845122699958847
2025-09-30,0.14823408984525788
2025-10-31,0.04402925797649937
2025-11-28,-0.06745957149740633
2025-12-31,-0.05859564802655015
2026-01-30,0.0222985829029152
2026-02-27,0.08576148404570905
