etf,description,rank_recent,score_recent,on_days_recent,avg_recent_pct,ann_recent_pct,beta_recent,ratio_recent,win_recent_pct,worst_recent_pct,best_recent_pct,rank_full,score_full,on_days_full,avg_full_pct,ann_full_pct,beta_full,ratio_full,win_full_pct,worst_full_pct,best_full_pct,rank_gap,robustness_flag
SCHG,Schwab Growth,1,84.07569434912003,378,0.1328891808258713,33.48807356811957,1.2175932160530505,1.2727489704579835,59.25925925925925,-4.0886499491968875,11.58509147136828,1,83.45036943503716,686,0.11904230907432153,29.99866188672903,1.2324445847444245,1.2432131406277,58.16326530612245,-4.0886499491968875,11.58509147136828,0,stable
QQQM,Nasdaq 100 Mini,2,82.71225382901852,378,0.13204801463070648,33.27609968693803,1.2247408730156442,1.260748447376197,58.994708994709,-4.05701968417207,11.738629575522541,14,63.574428124807156,663,0.10845270002077928,27.33008040523638,1.2335726233841884,1.2451747052269564,57.61689291101055,-4.05701968417207,11.738629575522541,12,moderate
SPMO,S&P 500 Momentum,3,80.6849668420059,378,0.1584359161930359,39.925850880645044,1.114360236857009,1.1298705562998075,58.46560846560847,-3.92732885363698,11.202509190161859,3,72.00781917419079,686,0.11473970548198445,28.914405781460083,1.0540902817661186,1.067293159507415,56.85131195335277,-4.124945305452887,11.202509190161859,0,stable
QQQ,Nasdaq 100,4,79.47907111549381,378,0.13154912643880837,33.15037986257971,1.236034069518034,1.2671560125246697,58.730158730158735,-4.253220455840944,12.003077136578888,2,79.61894779591118,686,0.11614467984184763,29.268459320145602,1.2545262516659546,1.2518075057866898,58.16326530612245,-4.806395024551913,12.003077136578888,2,stable
MGK,US Large Cap Growth,5,77.87505702154901,378,0.12905327270192907,32.52142472088613,1.2397940783465962,1.2504787378165028,58.730158730158735,-4.1289630394343195,12.230057945146866,12,64.66957469432806,686,0.109854749800374,27.68339694969425,1.2469322169034214,1.238158048045734,57.87172011661808,-4.153149392103006,12.230057945146866,7,moderate
VUG,Vanguard Growth,6,76.4752390869987,378,0.12606175605218575,31.76756252515081,1.2129246632659838,1.2376789589953126,58.46560846560847,-4.067298990543411,11.62705960546564,8,68.63009115652814,686,0.11064674347364682,27.882979355359,1.2252231686260435,1.212981527551566,57.7259475218659,-4.067298990543411,11.62705960546564,2,stable
IWF,Russell 1000 Growth,7,75.72126940086409,378,0.12442920755342711,31.356160303463632,1.2075990635545963,1.2002332615270526,58.46560846560847,-3.951432223710394,11.62224226757731,10,67.34820050841532,686,0.11046027731323814,27.83598988293601,1.2004015026850705,1.199350213956075,57.434402332361515,-3.951432223710394,11.62224226757731,3,stable
VONG,US Large Cap Growth,8,73.62743120723798,378,0.12382132671759313,31.202974332833467,1.2058853189143066,1.2034508171627532,57.936507936507944,-3.9622247254159304,11.647073520231753,6,69.46815399028937,686,0.11072512580327319,27.902731702424845,1.1981979540881735,1.2006655211415433,57.288629737609334,-3.962311610814173,11.647073520231753,2,stable
SPYG,SPDR Growth,9,72.46371808594739,378,0.12323199967505098,31.054463918112845,1.183073866055261,1.1596962566235893,57.936507936507944,-3.8879868651180427,11.360150110962387,20,57.75097807248441,686,0.10683313221974608,26.921949319376015,1.1794585522852348,1.1554460015282697,57.288629737609334,-3.8879868651180427,11.360150110962387,11,moderate
OEF,US Large Cap,10,70.24931166567224,378,0.11930040553521405,30.063702194873944,1.0218137764649535,1.037539301153524,57.67195767195767,-3.705247188224159,10.142276556944886,21,57.22021093122917,686,0.10827008360306577,27.284061067972576,1.0222315182103603,1.029959504257309,56.559766763848394,-3.7126768750785355,10.142276556944886,11,moderate
SCHX,US Large Cap,11,67.44484751905617,378,0.11094560927349055,27.958293536919616,0.9719902857531615,1.0184329989012237,57.407407407407405,-3.3131170401794585,9.3367341229043,5,69.96006173571706,686,0.11077422888538309,27.915105679116543,0.9940092603575592,1.0174615933049287,56.41399416909621,-3.344481648020692,9.3367341229043,6,moderate
