ticker,market_cap
LEN,24004642816.0
LIN,223638634496.0
LMT,156028059648.0
LYV,38768144384.0
LOW,137895903232.0
LULU,19968043008.0
L,22308898816.0
MTB,31575771136.0
MRSH,88355217408.0
MPC,65134538752.0
LYB,22197512192.0
MAR,84734107648.0
MAS,12720352256.0
MLM,36314484736.0
MA,459832983552.0
MTCH,7220206592.0
MCK,114418360320.0
MKC,17303529472.0
MCD,234736615424.0
MDT,116454785024.0
META,1608696201216.0
MRK,286970544128.0
MET,45812736000.0
MTD,24836698112.0
MCHP,34362101760.0
MU,426888790016.0
MSFT,3027356090368.0
MRNA,21314881536.0
MAA,15726690304.0
MGM,9507083264.0
MOH,7546809856.0
